cantica;canto;n_verso;verso
Inferno;XXVII;​1;Già era dritta in sù la fiamma e queta
Inferno;XXVII;​2;per non dir più, e già da noi sen gia
Inferno;XXVII;​3;con la licenza del dolce poeta,
Inferno;XXVII;​4;quand'un'altra, che dietro a lei venìa,
Inferno;XXVII;​5;ne fece volger li occhi a la sua cima
Inferno;XXVII;​6;per un confuso suon che fuor n'uscia.
Inferno;XXVII;​7;Come 'l bue cicilian che mugghiò prima
Inferno;XXVII;​8;col pianto di colui, e ciò fu dritto,
Inferno;XXVII;​9;che l'avea temperato con sua lima,
Inferno;XXVII;​10;mugghiava con la voce de l'afflitto,
Inferno;XXVII;​11;sì che, con tutto che fosse di rame,
Inferno;XXVII;​12;"pur el pareva dal dolor trafitto;"
Inferno;XXVII;​13;così, per non aver via né forame
Inferno;XXVII;​14;dal principio nel foco, in suo linguaggio
Inferno;XXVII;​15;si convertïan le parole grame.
Inferno;XXVII;​16;Ma poscia ch'ebber colto lor vïaggio
Inferno;XXVII;​17;su per la punta, dandole quel guizzo
Inferno;XXVII;​18;che dato avea la lingua in lor passaggio,
Inferno;XXVII;​19;"udimmo dire: ""O tu a cu' io drizzo"
Inferno;XXVII;​20;la voce e che parlavi mo lombardo,
Inferno;XXVII;​21;"dicendo ""Istra ten va, più non t'adizzo"","
Inferno;XXVII;​22;perch'io sia giunto forse alquanto tardo,
Inferno;XXVII;​23;"non t'incresca restare a parlar meco;"
Inferno;XXVII;​24;vedi che non incresce a me, e ardo!
Inferno;XXVII;​25;Se tu pur mo in questo mondo cieco
Inferno;XXVII;​26;caduto se' di quella dolce terra
Inferno;XXVII;​27;latina ond'io mia colpa tutta reco,
Inferno;XXVII;​28;"dimmi se Romagnuoli han pace o guerra;"
Inferno;XXVII;​29;ch'io fui d'i monti là intra Orbino
Inferno;XXVII;​30;"e 'l giogo di che Tever si diserra""."
Inferno;XXVII;​31;Io era in giuso ancora attento e chino,
Inferno;XXVII;​32;quando il mio duca mi tentò di costa,
Inferno;XXVII;​33;"dicendo: ""Parla tu; questi è latino""."
Inferno;XXVII;​34;E io, ch'avea già pronta la risposta,
Inferno;XXVII;​35;sanza indugio a parlare incominciai:
Inferno;XXVII;​36;"""O anima che se' là giù nascosta,"
Inferno;XXVII;​37;Romagna tua non è, e non fu mai,
Inferno;XXVII;​38;"sanza guerra ne' cuor de' suoi tiranni;"
Inferno;XXVII;​39;ma 'n palese nessuna or vi lasciai.
Inferno;XXVII;​40;Ravenna sta come stata è molt'anni:
Inferno;XXVII;​41;l'aguglia da Polenta la si cova,
Inferno;XXVII;​42;sì che Cervia ricuopre co' suoi vanni.
Inferno;XXVII;​43;La terra che fé già la lunga prova
Inferno;XXVII;​44;e di Franceschi sanguinoso mucchio,
Inferno;XXVII;​45;sotto le branche verdi si ritrova.
Inferno;XXVII;​46;E 'l mastin vecchio e 'l nuovo da Verrucchio,
Inferno;XXVII;​47;che fecer di Montagna il mal governo,
Inferno;XXVII;​48;là dove soglion fan d'i denti succhio.
Inferno;XXVII;​49;Le città di Lamone e di Santerno
Inferno;XXVII;​50;conduce il lïoncel dal nido bianco,
Inferno;XXVII;​51;che muta parte da la state al verno.
Inferno;XXVII;​52;E quella cu' il Savio bagna il fianco,
Inferno;XXVII;​53;così com'ella sie' tra 'l piano e 'l monte
Inferno;XXVII;​54;tra tirannia si vive e stato franco.
Inferno;XXVII;​55;"Ora chi se', ti priego che ne conte;"
Inferno;XXVII;​56;non esser duro più ch'altri sia stato,
Inferno;XXVII;​57;"se 'l nome tuo nel mondo tegna fronte""."
Inferno;XXVII;​58;Poscia che 'l foco alquanto ebbe rugghiato
Inferno;XXVII;​59;al modo suo, l'aguta punta mosse
Inferno;XXVII;​60;di qua, di là, e poi diè cotal fiato:
Inferno;XXVII;​61;"""S'i' credesse che mia risposta fosse"
Inferno;XXVII;​62;a persona che mai tornasse al mondo,
Inferno;XXVII;​63;"questa fiamma staria sanza più scosse;"
Inferno;XXVII;​64;ma però che già mai di questo fondo
Inferno;XXVII;​65;non tornò vivo alcun, s'i' odo il vero,
Inferno;XXVII;​66;sanza tema d'infamia ti rispondo.
Inferno;XXVII;​67;Io fui uom d'arme, e poi fui cordigliero,
Inferno;XXVII;​68;"credendomi, sì cinto, fare ammenda;"
Inferno;XXVII;​69;e certo il creder mio venìa intero,
Inferno;XXVII;​70;se non fosse il gran prete, a cui mal prenda!,
Inferno;XXVII;​71;"che mi rimise ne le prime colpe;"
Inferno;XXVII;​72;e come e quare, voglio che m'intenda.
Inferno;XXVII;​73;Mentre ch'io forma fui d'ossa e di polpe
Inferno;XXVII;​74;che la madre mi diè, l'opere mie
Inferno;XXVII;​75;non furon leonine, ma di volpe.
Inferno;XXVII;​76;Li accorgimenti e le coperte vie
Inferno;XXVII;​77;io seppi tutte, e sì menai lor arte,
Inferno;XXVII;​78;ch'al fine de la terra il suono uscie.
Inferno;XXVII;​79;Quando mi vidi giunto in quella parte
Inferno;XXVII;​80;di mia etade ove ciascun dovrebbe
Inferno;XXVII;​81;calar le vele e raccoglier le sarte,
Inferno;XXVII;​82;ciò che pria mi piacëa, allor m'increbbe,
Inferno;XXVII;​83;"e pentuto e confesso mi rendei;"
Inferno;XXVII;​84;ahi miser lasso! e giovato sarebbe.
Inferno;XXVII;​85;Lo principe d'i novi Farisei,
Inferno;XXVII;​86;avendo guerra presso a Laterano,
Inferno;XXVII;​87;e non con Saracin né con Giudei,
Inferno;XXVII;​88;ché ciascun suo nimico era cristiano,
Inferno;XXVII;​89;e nessun era stato a vincer Acri
Inferno;XXVII;​90;né mercatante in terra di Soldano,
Inferno;XXVII;​91;né sommo officio né ordini sacri
Inferno;XXVII;​92;guardò in sé, né in me quel capestro
Inferno;XXVII;​93;che solea fare i suoi cinti più macri.
Inferno;XXVII;​94;Ma come Costantin chiese Silvestro
Inferno;XXVII;​95;d'entro Siratti a guerir de la lebbre,
Inferno;XXVII;​96;così mi chiese questi per maestro
Inferno;XXVII;​97;"a guerir de la sua superba febbre;"
Inferno;XXVII;​98;domandommi consiglio, e io tacetti
Inferno;XXVII;​99;perché le sue parole parver ebbre.
Inferno;XXVII;​100;"E' poi ridisse: ""Tuo cuor non sospetti;"
Inferno;XXVII;​101;finor t'assolvo, e tu m'insegna fare
Inferno;XXVII;​102;sì come Penestrino in terra getti.
Inferno;XXVII;​103;Lo ciel poss'io serrare e diserrare,
Inferno;XXVII;​104;"come tu sai; però son due le chiavi"
Inferno;XXVII;​105;"che 'l mio antecessor non ebbe care""."
Inferno;XXVII;​106;Allor mi pinser li argomenti gravi
Inferno;XXVII;​107;là 've 'l tacer mi fu avviso 'l peggio,
Inferno;XXVII;​108;"e dissi: ""Padre, da che tu mi lavi"
Inferno;XXVII;​109;di quel peccato ov'io mo cader deggio,
Inferno;XXVII;​110;lunga promessa con l'attender corto
Inferno;XXVII;​111;"ti farà trïunfar ne l'alto seggio""."
Inferno;XXVII;​112;Francesco venne poi, com'io fu' morto,
Inferno;XXVII;​113;"per me; ma un d'i neri cherubini"
Inferno;XXVII;​114;"li disse: ""Non portar: non mi far torto."
Inferno;XXVII;​115;Venir se ne dee giù tra ' miei meschini
Inferno;XXVII;​116;perché diede 'l consiglio frodolente,
Inferno;XXVII;​117;"dal quale in qua stato li sono a' crini;"
Inferno;XXVII;​118;ch'assolver non si può chi non si pente,
Inferno;XXVII;​119;né pentere e volere insieme puossi
Inferno;XXVII;​120;"per la contradizion che nol consente""."
Inferno;XXVII;​121;Oh me dolente! come mi riscossi
Inferno;XXVII;​122;"quando mi prese dicendomi: ""Forse"
Inferno;XXVII;​123;"tu non pensavi ch'io löico fossi!""."
Inferno;XXVII;​124;"A Minòs mi portò; e quelli attorse"
Inferno;XXVII;​125;"otto volte la coda al dosso duro;"
Inferno;XXVII;​126;e poi che per gran rabbia la si morse,
Inferno;XXVII;​127;"disse: ""Questi è d'i rei del foco furo"";"
Inferno;XXVII;​128;per ch'io là dove vedi son perduto,
Inferno;XXVII;​129;"e sì vestito, andando, mi rancuro""."
Inferno;XXVII;​130;Quand'elli ebbe 'l suo dir così compiuto,
Inferno;XXVII;​131;la fiamma dolorando si partio,
Inferno;XXVII;​132;torcendo e dibattendo 'l corno aguto.
Inferno;XXVII;​133;Noi passamm'oltre, e io e 'l duca mio,
Inferno;XXVII;​134;su per lo scoglio infino in su l'altr'arco
Inferno;XXVII;​135;che cuopre 'l fosso in che si paga il fio
Inferno;XXVII;​136;a quei che scommettendo acquistan carco.
Inferno;XXVIII;​1;Chi poria mai pur con parole sciolte
Inferno;XXVIII;​2;dicer del sangue e de le piaghe a pieno
Inferno;XXVIII;​3;ch'i' ora vidi, per narrar più volte?
Inferno;XXVIII;​4;Ogne lingua per certo verria meno
Inferno;XXVIII;​5;per lo nostro sermone e per la mente
Inferno;XXVIII;​6;c'hanno a tanto comprender poco seno.
Inferno;XXVIII;​7;S'el s'aunasse ancor tutta la gente
Inferno;XXVIII;​8;che già, in su la fortunata terra
Inferno;XXVIII;​9;di Puglia, fu del suo sangue dolente
Inferno;XXVIII;​10;per li Troiani e per la lunga guerra
Inferno;XXVIII;​11;che de l'anella fé sì alte spoglie,
Inferno;XXVIII;​12;come Livio scrïve, che non erra,
Inferno;XXVIII;​13;con quella che sentio di colpi doglie
Inferno;XXVIII;​14;"per contastare a Ruberto Guiscardo;"
Inferno;XXVIII;​15;e l'altra il cui ossame ancor s'accoglie
Inferno;XXVIII;​16;a Ceperan, là dove fu bugiardo
Inferno;XXVIII;​17;ciascun Pugliese, e là da Tagliacozzo,
Inferno;XXVIII;​18;"dove sanz'arme vinse il vecchio Alardo;"
Inferno;XXVIII;​19;e qual forato suo membro e qual mozzo
Inferno;XXVIII;​20;mostrasse, d'aequar sarebbe nulla
Inferno;XXVIII;​21;il modo de la nona bolgia sozzo.
Inferno;XXVIII;​22;Già veggia, per mezzul perdere o lulla,
Inferno;XXVIII;​23;com'io vidi un, così non si pertugia,
Inferno;XXVIII;​24;rotto dal mento infin dove si trulla.
Inferno;XXVIII;​25;"Tra le gambe pendevan le minugia;"
Inferno;XXVIII;​26;la corata pareva e 'l tristo sacco
Inferno;XXVIII;​27;che merda fa di quel che si trangugia.
Inferno;XXVIII;​28;Mentre che tutto in lui veder m'attacco,
Inferno;XXVIII;​29;guardommi e con le man s'aperse il petto,
Inferno;XXVIII;​30;"dicendo: ""Or vedi com'io mi dilacco!"
Inferno;XXVIII;​31;vedi come storpiato è Mäometto!
Inferno;XXVIII;​32;Dinanzi a me sen va piangendo Alì,
Inferno;XXVIII;​33;fesso nel volto dal mento al ciuffetto.
Inferno;XXVIII;​34;E tutti li altri che tu vedi qui,
Inferno;XXVIII;​35;seminator di scandalo e di scisma
Inferno;XXVIII;​36;fuor vivi, e però son fessi così.
Inferno;XXVIII;​37;Un diavolo è qua dietro che n'accisma
Inferno;XXVIII;​38;sì crudelmente, al taglio de la spada
Inferno;XXVIII;​39;rimettendo ciascun di questa risma,
Inferno;XXVIII;​40;"quand'avem volta la dolente strada;"
Inferno;XXVIII;​41;però che le ferite son richiuse
Inferno;XXVIII;​42;prima ch'altri dinanzi li rivada.
Inferno;XXVIII;​43;Ma tu chi se' che 'n su lo scoglio muse,
Inferno;XXVIII;​44;forse per indugiar d'ire a la pena
Inferno;XXVIII;​45;"ch'è giudicata in su le tue accuse?""."
Inferno;XXVIII;​46;"""Né morte 'l giunse ancor, né colpa 'l mena"","
Inferno;XXVIII;​47;"rispuose 'l mio maestro, ""a tormentarlo;"
Inferno;XXVIII;​48;ma per dar lui esperïenza piena,
Inferno;XXVIII;​49;a me, che morto son, convien menarlo
Inferno;XXVIII;​50;"per lo 'nferno qua giù di giro in giro;"
Inferno;XXVIII;​51;"e quest'è ver così com'io ti parlo""."
Inferno;XXVIII;​52;Più fuor di cento che, quando l'udiro,
Inferno;XXVIII;​53;s'arrestaron nel fosso a riguardarmi
Inferno;XXVIII;​54;per maraviglia, oblïando il martiro.
Inferno;XXVIII;​55;"""Or dì a fra Dolcin dunque che s'armi,"
Inferno;XXVIII;​56;tu che forse vedra' il sole in breve,
Inferno;XXVIII;​57;s'ello non vuol qui tosto seguitarmi,
Inferno;XXVIII;​58;sì di vivanda, che stretta di neve
Inferno;XXVIII;​59;non rechi la vittoria al Noarese,
Inferno;XXVIII;​60;"ch'altrimenti acquistar non saria leve""."
Inferno;XXVIII;​61;Poi che l'un piè per girsene sospese,
Inferno;XXVIII;​62;"Mäometto mi disse esta parola;"
Inferno;XXVIII;​63;indi a partirsi in terra lo distese.
Inferno;XXVIII;​64;Un altro, che forata avea la gola
Inferno;XXVIII;​65;e tronco 'l naso infin sotto le ciglia,
Inferno;XXVIII;​66;e non avea mai ch'una orecchia sola,
Inferno;XXVIII;​67;ristato a riguardar per maraviglia
Inferno;XXVIII;​68;con li altri, innanzi a li altri aprì la canna,
Inferno;XXVIII;​69;ch'era di fuor d'ogni parte vermiglia,
Inferno;XXVIII;​70;"e disse: ""O tu cui colpa non condanna"
Inferno;XXVIII;​71;e cu' io vidi su in terra latina,
Inferno;XXVIII;​72;se troppa simiglianza non m'inganna,
Inferno;XXVIII;​73;rimembriti di Pier da Medicina,
Inferno;XXVIII;​74;se mai torni a veder lo dolce piano
Inferno;XXVIII;​75;che da Vercelli a Marcabò dichina.
Inferno;XXVIII;​76;E fa saper a' due miglior da Fano,
Inferno;XXVIII;​77;a messer Guido e anco ad Angiolello,
Inferno;XXVIII;​78;che, se l'antiveder qui non è vano,
Inferno;XXVIII;​79;gittati saran fuor di lor vasello
Inferno;XXVIII;​80;e mazzerati presso a la Cattolica
Inferno;XXVIII;​81;per tradimento d'un tiranno fello.
Inferno;XXVIII;​82;Tra l'isola di Cipri e di Maiolica
Inferno;XXVIII;​83;non vide mai sì gran fallo Nettuno,
Inferno;XXVIII;​84;non da pirate, non da gente argolica.
Inferno;XXVIII;​85;Quel traditor che vede pur con l'uno,
Inferno;XXVIII;​86;e tien la terra che tale qui meco
Inferno;XXVIII;​87;vorrebbe di vedere esser digiuno,
Inferno;XXVIII;​88;"farà venirli a parlamento seco;"
Inferno;XXVIII;​89;poi farà sì, ch'al vento di Focara
Inferno;XXVIII;​90;"non sarà lor mestier voto né preco""."
Inferno;XXVIII;​91;"E io a lui: ""Dimostrami e dichiara,"
Inferno;XXVIII;​92;se vuo' ch'i' porti sù di te novella,
Inferno;XXVIII;​93;"chi è colui da la veduta amara""."
Inferno;XXVIII;​94;Allor puose la mano a la mascella
Inferno;XXVIII;​95;d'un suo compagno e la bocca li aperse,
Inferno;XXVIII;​96;"gridando: ""Questi è desso, e non favella."
Inferno;XXVIII;​97;Questi, scacciato, il dubitar sommerse
Inferno;XXVIII;​98;in Cesare, affermando che 'l fornito
Inferno;XXVIII;​99;"sempre con danno l'attender sofferse""."
Inferno;XXVIII;​100;Oh quanto mi pareva sbigottito
Inferno;XXVIII;​101;con la lingua tagliata ne la strozza
Inferno;XXVIII;​102;Curïo, ch'a dir fu così ardito!
Inferno;XXVIII;​103;E un ch'avea l'una e l'altra man mozza,
Inferno;XXVIII;​104;levando i moncherin per l'aura fosca,
Inferno;XXVIII;​105;sì che 'l sangue facea la faccia sozza,
Inferno;XXVIII;​106;"gridò: ""Ricordera'ti anche del Mosca,"
Inferno;XXVIII;​107;"che disse, lasso!, ""Capo ha cosa fatta"","
Inferno;XXVIII;​108;"che fu mal seme per la gente tosca""."
Inferno;XXVIII;​109;"E io li aggiunsi: ""E morte di tua schiatta"";"
Inferno;XXVIII;​110;per ch'elli, accumulando duol con duolo,
Inferno;XXVIII;​111;sen gio come persona trista e matta.
Inferno;XXVIII;​112;Ma io rimasi a riguardar lo stuolo,
Inferno;XXVIII;​113;e vidi cosa ch'io avrei paura,
Inferno;XXVIII;​114;"sanza più prova, di contarla solo;"
Inferno;XXVIII;​115;se non che coscïenza m'assicura,
Inferno;XXVIII;​116;la buona compagnia che l'uom francheggia
Inferno;XXVIII;​117;sotto l'asbergo del sentirsi pura.
Inferno;XXVIII;​118;Io vidi certo, e ancor par ch'io 'l veggia,
Inferno;XXVIII;​119;un busto sanza capo andar sì come
Inferno;XXVIII;​120;"andavan li altri de la trista greggia;"
Inferno;XXVIII;​121;e 'l capo tronco tenea per le chiome,
Inferno;XXVIII;​122;pesol con mano a guisa di lanterna:
Inferno;XXVIII;​123;"e quel mirava noi e dicea: ""Oh me!""."
Inferno;XXVIII;​124;Di sé facea a sé stesso lucerna,
Inferno;XXVIII;​125;"ed eran due in uno e uno in due;"
Inferno;XXVIII;​126;com'esser può, quei sa che sì governa.
Inferno;XXVIII;​127;Quando diritto al piè del ponte fue,
Inferno;XXVIII;​128;levò 'l braccio alto con tutta la testa
Inferno;XXVIII;​129;per appressarne le parole sue,
Inferno;XXVIII;​130;"che fuoro: ""Or vedi la pena molesta,"
Inferno;XXVIII;​131;tu che, spirando, vai veggendo i morti:
Inferno;XXVIII;​132;vedi s'alcuna è grande come questa.
Inferno;XXVIII;​133;E perché tu di me novella porti,
Inferno;XXVIII;​134;sappi ch'i' son Bertram dal Bornio, quelli
Inferno;XXVIII;​135;che diedi al re giovane i ma' conforti.
Inferno;XXVIII;​136;"Io feci il padre e 'l figlio in sé ribelli;"
Inferno;XXVIII;​137;Achitofèl non fé più d'Absalone
Inferno;XXVIII;​138;e di Davìd coi malvagi punzelli.
Inferno;XXVIII;​139;Perch'io parti' così giunte persone,
Inferno;XXVIII;​140;partito porto il mio cerebro, lasso!,
Inferno;XXVIII;​141;dal suo principio ch'è in questo troncone.
Inferno;XXVIII;​142;"Così s'osserva in me lo contrapasso""."
Inferno;XXIX;​1;La molta gente e le diverse piaghe
Inferno;XXIX;​2;avean le luci mie sì inebrïate,
Inferno;XXIX;​3;che de lo stare a piangere eran vaghe.
Inferno;XXIX;​4;"Ma Virgilio mi disse: ""Che pur guate?"
Inferno;XXIX;​5;perché la vista tua pur si soffolge
Inferno;XXIX;​6;là giù tra l'ombre triste smozzicate?
Inferno;XXIX;​7;"Tu non hai fatto sì a l'altre bolge;"
Inferno;XXIX;​8;pensa, se tu annoverar le credi,
Inferno;XXIX;​9;che miglia ventidue la valle volge.
Inferno;XXIX;​10;"E già la luna è sotto i nostri piedi;"
Inferno;XXIX;​11;lo tempo è poco omai che n'è concesso,
Inferno;XXIX;​12;"e altro è da veder che tu non vedi""."
Inferno;XXIX;​13;"""Se tu avessi"", rispuos'io appresso,"
Inferno;XXIX;​14;"""atteso a la cagion perch'io guardava,"
Inferno;XXIX;​15;"forse m'avresti ancor lo star dimesso""."
Inferno;XXIX;​16;Parte sen giva, e io retro li andava,
Inferno;XXIX;​17;lo duca, già faccendo la risposta,
Inferno;XXIX;​18;"e soggiugnendo: ""Dentro a quella cava"
Inferno;XXIX;​19;dov'io tenea or li occhi sì a posta,
Inferno;XXIX;​20;credo ch'un spirto del mio sangue pianga
Inferno;XXIX;​21;"la colpa che là giù cotanto costa""."
Inferno;XXIX;​22;"Allor disse 'l maestro: ""Non si franga"
Inferno;XXIX;​23;lo tuo pensier da qui innanzi sovr'ello.
Inferno;XXIX;​24;"Attendi ad altro, ed ei là si rimanga;"
Inferno;XXIX;​25;ch'io vidi lui a piè del ponticello
Inferno;XXIX;​26;mostrarti e minacciar forte col dito,
Inferno;XXIX;​27;e udi' 'l nominar Geri del Bello.
Inferno;XXIX;​28;Tu eri allor sì del tutto impedito
Inferno;XXIX;​29;sovra colui che già tenne Altaforte,
Inferno;XXIX;​30;"che non guardasti in là, sì fu partito""."
Inferno;XXIX;​31;"""O duca mio, la vïolenta morte"
Inferno;XXIX;​32;"che non li è vendicata ancor"", diss'io,"
Inferno;XXIX;​33;"""per alcun che de l'onta sia consorte,"
Inferno;XXIX;​34;"fece lui disdegnoso; ond'el sen gio"
Inferno;XXIX;​35;sanza parlarmi, sì com'ïo estimo:
Inferno;XXIX;​36;"e in ciò m'ha el fatto a sé più pio""."
Inferno;XXIX;​37;Così parlammo infino al loco primo
Inferno;XXIX;​38;che de lo scoglio l'altra valle mostra,
Inferno;XXIX;​39;se più lume vi fosse, tutto ad imo.
Inferno;XXIX;​40;Quando noi fummo sor l'ultima chiostra
Inferno;XXIX;​41;di Malebolge, sì che i suoi conversi
Inferno;XXIX;​42;potean parere a la veduta nostra,
Inferno;XXIX;​43;lamenti saettaron me diversi,
Inferno;XXIX;​44;"che di pietà ferrati avean li strali;"
Inferno;XXIX;​45;ond'io li orecchi con le man copersi.
Inferno;XXIX;​46;Qual dolor fora, se de li spedali,
Inferno;XXIX;​47;di Valdichiana tra 'l luglio e 'l settembre
Inferno;XXIX;​48;e di Maremma e di Sardigna i mali
Inferno;XXIX;​49;fossero in una fossa tutti 'nsembre,
Inferno;XXIX;​50;tal era quivi, e tal puzzo n'usciva
Inferno;XXIX;​51;qual suol venir de le marcite membre.
Inferno;XXIX;​52;Noi discendemmo in su l'ultima riva
Inferno;XXIX;​53;"del lungo scoglio, pur da man sinistra;"
Inferno;XXIX;​54;e allor fu la mia vista più viva
Inferno;XXIX;​55;giù ver' lo fondo, la 've la ministra
Inferno;XXIX;​56;de l'alto Sire infallibil giustizia
Inferno;XXIX;​57;punisce i falsador che qui registra.
Inferno;XXIX;​58;Non credo ch'a veder maggior tristizia
Inferno;XXIX;​59;fosse in Egina il popol tutto infermo,
Inferno;XXIX;​60;quando fu l'aere sì pien di malizia,
Inferno;XXIX;​61;che li animali, infino al picciol vermo,
Inferno;XXIX;​62;cascaron tutti, e poi le genti antiche,
Inferno;XXIX;​63;secondo che i poeti hanno per fermo,
Inferno;XXIX;​64;"si ristorar di seme di formiche;"
Inferno;XXIX;​65;ch'era a veder per quella oscura valle
Inferno;XXIX;​66;languir li spirti per diverse biche.
Inferno;XXIX;​67;Qual sovra 'l ventre e qual sovra le spalle
Inferno;XXIX;​68;l'un de l'altro giacea, e qual carpone
Inferno;XXIX;​69;si trasmutava per lo tristo calle.
Inferno;XXIX;​70;Passo passo andavam sanza sermone,
Inferno;XXIX;​71;guardando e ascoltando li ammalati,
Inferno;XXIX;​72;che non potean levar le lor persone.
Inferno;XXIX;​73;Io vidi due sedere a sé poggiati,
Inferno;XXIX;​74;com'a scaldar si poggia tegghia a tegghia,
Inferno;XXIX;​75;"dal capo al piè di schianze macolati;"
Inferno;XXIX;​76;e non vidi già mai menare stregghia
Inferno;XXIX;​77;a ragazzo aspettato dal segnorso,
Inferno;XXIX;​78;né a colui che mal volontier vegghia,
Inferno;XXIX;​79;come ciascun menava spesso il morso
Inferno;XXIX;​80;de l'unghie sopra sé per la gran rabbia
Inferno;XXIX;​81;"del pizzicor, che non ha più soccorso;"
Inferno;XXIX;​82;e sì traevan giù l'unghie la scabbia,
Inferno;XXIX;​83;come coltel di scardova le scaglie
Inferno;XXIX;​84;o d'altro pesce che più larghe l'abbia.
Inferno;XXIX;​85;"""O tu che con le dita ti dismaglie"","
Inferno;XXIX;​86;cominciò 'l duca mio a l'un di loro,
Inferno;XXIX;​87;"""e che fai d'esse talvolta tanaglie,"
Inferno;XXIX;​88;dinne s'alcun Latino è tra costoro
Inferno;XXIX;​89;che son quinc'entro, se l'unghia ti basti
Inferno;XXIX;​90;"etternalmente a cotesto lavoro""."
Inferno;XXIX;​91;"""Latin siam noi, che tu vedi sì guasti"
Inferno;XXIX;​92;"qui ambedue"", rispuose l'un piangendo;"
Inferno;XXIX;​93;"""ma tu chi se' che di noi dimandasti?""."
Inferno;XXIX;​94;"E 'l duca disse: ""I' son un che discendo"
Inferno;XXIX;​95;con questo vivo giù di balzo in balzo,
Inferno;XXIX;​96;"e di mostrar lo 'nferno a lui intendo""."
Inferno;XXIX;​97;"Allor si ruppe lo comun rincalzo;"
Inferno;XXIX;​98;e tremando ciascuno a me si volse
Inferno;XXIX;​99;con altri che l'udiron di rimbalzo.
Inferno;XXIX;​100;Lo buon maestro a me tutto s'accolse,
Inferno;XXIX;​101;"dicendo: ""Dì a lor ciò che tu vuoli"";"
Inferno;XXIX;​102;e io incominciai, poscia ch'ei volse:
Inferno;XXIX;​103;"""Se la vostra memoria non s'imboli"
Inferno;XXIX;​104;nel primo mondo da l'umane menti,
Inferno;XXIX;​105;ma s'ella viva sotto molti soli,
Inferno;XXIX;​106;"ditemi chi voi siete e di che genti;"
Inferno;XXIX;​107;la vostra sconcia e fastidiosa pena
Inferno;XXIX;​108;"di palesarvi a me non vi spaventi""."
Inferno;XXIX;​109;"""Io fui d'Arezzo, e Albero da Siena"","
Inferno;XXIX;​110;"rispuose l'un, ""mi fé mettere al foco;"
Inferno;XXIX;​111;ma quel per ch'io mori' qui non mi mena.
Inferno;XXIX;​112;Vero è ch'i' dissi lui, parlando a gioco:
Inferno;XXIX;​113;"""I' mi saprei levar per l'aere a volo"";"
Inferno;XXIX;​114;e quei, ch'avea vaghezza e senno poco,
Inferno;XXIX;​115;"volle ch'i' li mostrassi l'arte; e solo"
Inferno;XXIX;​116;perch'io nol feci Dedalo, mi fece
Inferno;XXIX;​117;ardere a tal che l'avea per figliuolo.
Inferno;XXIX;​118;Ma ne l'ultima bolgia de le diece
Inferno;XXIX;​119;me per l'alchìmia che nel mondo usai
Inferno;XXIX;​120;"dannò Minòs, a cui fallar non lece""."
Inferno;XXIX;​121;"E io dissi al poeta: ""Or fu già mai"
Inferno;XXIX;​122;gente sì vana come la sanese?
Inferno;XXIX;​123;"Certo non la francesca sì d'assai!""."
Inferno;XXIX;​124;Onde l'altro lebbroso, che m'intese,
Inferno;XXIX;​125;"rispuose al detto mio: ""Tra'mene Stricca"
Inferno;XXIX;​126;che seppe far le temperate spese,
Inferno;XXIX;​127;e Niccolò che la costuma ricca
Inferno;XXIX;​128;del garofano prima discoverse
Inferno;XXIX;​129;"ne l'orto dove tal seme s'appicca;"
Inferno;XXIX;​130;e tra'ne la brigata in che disperse
Inferno;XXIX;​131;Caccia d'Ascian la vigna e la gran fonda,
Inferno;XXIX;​132;e l'Abbagliato suo senno proferse.
Inferno;XXIX;​133;Ma perché sappi chi sì ti seconda
Inferno;XXIX;​134;contra i Sanesi, aguzza ver' me l'occhio,
Inferno;XXIX;​135;sì che la faccia mia ben ti risponda:
Inferno;XXIX;​136;sì vedrai ch'io son l'ombra di Capocchio,
Inferno;XXIX;​137;"che falsai li metalli con l'alchìmia;"
Inferno;XXIX;​138;e te dee ricordar, se ben t'adocchio,
Inferno;XXIX;​139;"com'io fui di natura buona scimia""."
Inferno;XXX;​1;Nel tempo che Iunone era crucciata
Inferno;XXX;​2;per Semelè contra 'l sangue tebano,
Inferno;XXX;​3;come mostrò una e altra fïata,
Inferno;XXX;​4;Atamante divenne tanto insano,
Inferno;XXX;​5;che veggendo la moglie con due figli
Inferno;XXX;​6;andar carcata da ciascuna mano,
Inferno;XXX;​7;"gridò: ""Tendiam le reti, sì ch'io pigli"
Inferno;XXX;​8;"la leonessa e ' leoncini al varco"";"
Inferno;XXX;​9;e poi distese i dispietati artigli,
Inferno;XXX;​10;prendendo l'un ch'avea nome Learco,
Inferno;XXX;​11;"e rotollo e percosselo ad un sasso;"
Inferno;XXX;​12;e quella s'annegò con l'altro carco.
Inferno;XXX;​13;E quando la fortuna volse in basso
Inferno;XXX;​14;l'altezza de' Troian che tutto ardiva,
Inferno;XXX;​15;sì che 'nsieme col regno il re fu casso,
Inferno;XXX;​16;Ecuba trista, misera e cattiva,
Inferno;XXX;​17;poscia che vide Polissena morta,
Inferno;XXX;​18;e del suo Polidoro in su la riva
Inferno;XXX;​19;del mar si fu la dolorosa accorta,
Inferno;XXX;​20;"forsennata latrò sì come cane;"
Inferno;XXX;​21;tanto il dolor le fé la mente torta.
Inferno;XXX;​22;Ma né di Tebe furie né troiane
Inferno;XXX;​23;si vider mäi in alcun tanto crude,
Inferno;XXX;​24;non punger bestie, nonché membra umane,
