cantica;canto;range_versi;frase
Inferno;XVII;​25-27;Nel vano tutta sua coda guizzava, torcendo in sù la venenosa forca ch'a guisa di scorpion la punta armava.
Inferno;XVII;​28;Lo duca disse:
Inferno;XVII;​28-30;"""Or convien che si torca la nostra via un poco insino a quella bestia malvagia che colà si corca""."
Inferno;XVII;​31-33;Però scendemmo a la destra mammella, e diece passi femmo in su lo stremo, per ben cessar la rena e la fiammella.
Inferno;XVII;​34-36;E quando noi a lei venuti semo, poco più oltre veggio in su la rena gente seder propinqua al loco scemo.
Inferno;XVII;​37-39;"Quivi 'l maestro ""Acciò che tutta piena esperïenza d'esto giron porti"", mi disse, ""va, e vedi la lor mena."
Inferno;XVII;​40;"Li tuoi ragionamenti sian là corti;"
Inferno;XVII;​41-42;"mentre che torni, parlerò con questa, che ne conceda i suoi omeri forti""."
Inferno;XVII;​43-45;Così ancor su per la strema testa di quel settimo cerchio tutto solo andai, dove sedea la gente mesta.
Inferno;XVII;​46;"Per li occhi fora scoppiava lor duolo;"
Inferno;XVII;​47-48;di qua, di là soccorrien con le mani quando a' vapori, e quando al caldo suolo:
Inferno;XVII;​49-51;non altrimenti fan di state i cani or col ceffo or col piè, quando son morsi o da pulci o da mosche o da tafani.
Inferno;XVII;​52-54;"Poi che nel viso a certi li occhi porsi, ne' quali 'l doloroso foco casca, non ne conobbi alcun;"
Inferno;XVII;​54-57;ma io m'accorsi che dal collo a ciascun pendea una tasca ch'avea certo colore e certo segno, e quindi par che 'l loro occhio si pasca.
Inferno;XVII;​58-60;E com'io riguardando tra lor vegno, in una borsa gialla vidi azzurro che d'un leone avea faccia e contegno.
Inferno;XVII;​61-63;Poi, procedendo di mio sguardo il curro, vidine un'altra come sangue rossa, mostrando un'oca bianca più che burro.
Inferno;XVII;​64-66;E un che d'una scrofa azzurra e grossa segnato avea lo suo sacchetto bianco, mi disse:
Inferno;XVII;​66;"""Che fai tu in questa fossa?"
Inferno;XVII;​67;"Or te ne va;"
Inferno;XVII;​67-69;e perché se' vivo anco, sappi che 'l mio vicin Vitalïano sederà qui dal mio sinistro fianco.
Inferno;XVII;​70;Con questi Fiorentin son padoano:
Inferno;XVII;​71-72;spesse fïate mi 'ntronan li orecchi gridando:
Inferno;XVII;​72-73;"""Vegna 'l cavalier sovrano, che recherà la tasca con tre becchi!""."
Inferno;XVII;​74-75;Qui distorse la bocca e di fuor trasse la lingua, come bue che 'l naso lecchi.
Inferno;XVII;​76-78;E io, temendo no 'l più star crucciasse lui che di poco star m'avea 'mmonito, torna'mi in dietro da l'anime lasse.
Inferno;XVII;​79-81;Trova' il duca mio ch'era salito già su la groppa del fiero animale, e disse a me:
Inferno;XVII;​81;"""Or sie forte e ardito."
Inferno;XVII;​82;"Omai si scende per sì fatte scale;"
Inferno;XVII;​83-84;"monta dinanzi, ch'i' voglio esser mezzo, sì che la coda non possa far male""."
Inferno;XVII;​85-88;"Qual è colui che sì presso ha 'l riprezzo de la quartana, c'ha già l'unghie smorte, e triema tutto pur guardando 'l rezzo, tal divenn'io a le parole porte;"
Inferno;XVII;​89-90;ma vergogna mi fé le sue minacce, che innanzi a buon segnor fa servo forte.
Inferno;XVII;​91;"I' m'assettai in su quelle spallacce;"
Inferno;XVII;​92-93;sì volli dir, ma la voce non venne com'io credetti:
Inferno;XVII;​93;"""Fa che tu m'abbracce""."
Inferno;XVII;​94-96;"Ma esso, ch'altra volta mi sovvenne ad altro forse, tosto ch'i' montai con le braccia m'avvinse e mi sostenne;"
Inferno;XVII;​97;e disse:
Inferno;XVII;​97;"""Gerïon, moviti omai:"
Inferno;XVII;​98;"le rote larghe, e lo scender sia poco;"
Inferno;XVII;​99;"pensa la nova soma che tu hai""."
Inferno;XVII;​100-101;"Come la navicella esce di loco in dietro in dietro, sì quindi si tolse;"
Inferno;XVII;​102-105;e poi ch'al tutto si sentì a gioco, là 'v'era 'l petto, la coda rivolse, e quella tesa, come anguilla, mosse, e con le branche l'aere a sé raccolse.
Inferno;XVII;​106-108;"Maggior paura non credo che fosse quando Fetonte abbandonò li freni, per che 'l ciel, come pare ancor, si cosse;"
Inferno;XVII;​109-114;"né quando Icaro misero le reni sentì spennar per la scaldata cera, gridando il padre a lui ""Mala via tieni!"", che fu la mia, quando vidi ch'i' era ne l'aere d'ogne parte, e vidi spenta ogne veduta fuor che de la fera."
Inferno;XVII;​115-117;"Ella sen va notando lenta lenta; rota e discende, ma non me n'accorgo se non che al viso e di sotto mi venta."
Inferno;XVII;​118-120;Io sentia già da la man destra il gorgo far sotto noi un orribile scroscio, per che con li occhi 'n giù la testa sporgo.
Inferno;XVII;​121-122;"Allor fu' io più timido a lo stoscio, però ch'i' vidi fuochi e senti' pianti;"
Inferno;XVII;​123;ond'io tremando tutto mi raccoscio.
Inferno;XVII;​124-126;E vidi poi, ché nol vedea davanti, lo scendere e 'l girar per li gran mali che s'appressavan da diversi canti.
Inferno;XVII;​127-132;"Come 'l falcon ch'è stato assai su l'ali, che sanza veder logoro o uccello fa dire al falconiere ""Omè, tu cali!"", discende lasso onde si move isnello, per cento rote, e da lunge si pone dal suo maestro, disdegnoso e fello;"
Inferno;XVII;​133-136;così ne puose al fondo Gerïone al piè al piè de la stagliata rocca, e, discarcate le nostre persone, si dileguò come da corda cocca.
Inferno;XVIII;​1-3;Luogo è in inferno detto Malebolge, tutto di pietra di color ferrigno, come la cerchia che dintorno il volge.
Inferno;XVIII;​4-6;Nel dritto mezzo del campo maligno vaneggia un pozzo assai largo e profondo, di cui suo loco dicerò l'ordigno.
Inferno;XVIII;​7-9;Quel cinghio che rimane adunque è tondo tra 'l pozzo e 'l piè de l'alta ripa dura, e ha distinto in dieci valli il fondo.
Inferno;XVIII;​10-13;"Quale, dove per guardia de le mura più e più fossi cingon li castelli, la parte dove son rende figura, tale imagine quivi facean quelli;"
Inferno;XVIII;​14-18;e come a tai fortezze da' lor sogli a la ripa di fuor son ponticelli, così da imo de la roccia scogli movien che ricidien li argini e ' fossi infino al pozzo che i tronca e raccogli.
Inferno;XVIII;​19-20;"In questo luogo, de la schiena scossi di Gerïon, trovammoci;"
Inferno;XVIII;​20-21;e 'l poeta tenne a sinistra, e io dietro mi mossi.
Inferno;XVIII;​22-24;A la man destra vidi nova pieta, novo tormento e novi frustatori, di che la prima bolgia era repleta.
Inferno;XVIII;​25;"Nel fondo erano ignudi i peccatori;"
Inferno;XVIII;​26-33;dal mezzo in qua ci venien verso 'l volto, di là con noi, ma con passi maggiori, come i Roman per l'essercito molto, l'anno del giubileo, su per lo ponte hanno a passar la gente modo colto, che da l'un lato tutti hanno la fronte verso 'l castello e vanno a Santo Pietro, da l'altra sponda vanno verso 'l monte.
Inferno;XVIII;​34-36;Di qua, di là, su per lo sasso tetro vidi demon cornuti con gran ferze, che li battien crudelmente di retro.
Inferno;XVIII;​37-38;Ahi come facean lor levar le berze a le prime percosse!
Inferno;XVIII;​38-39;già nessuno le seconde aspettava né le terze.
Inferno;XVIII;​40-41;"Mentr'io andava, li occhi miei in uno furo scontrati;"
Inferno;XVIII;​41;e io sì tosto dissi:
Inferno;XVIII;​42;"""Già di veder costui non son digiuno""."
Inferno;XVIII;​43-45;"Per ch'ïo a figurarlo i piedi affissi; e 'l dolce duca meco si ristette, e assentio ch'alquanto in dietro gissi."
Inferno;XVIII;​46-47;"E quel frustato celar si credette bassando 'l viso;"
Inferno;XVIII;​47-48;ma poco li valse, ch'io dissi:
Inferno;XVIII;​48-50;"""O tu che l'occhio a terra gette, se le fazion che porti non son false, Venedico se' tu Caccianemico."
Inferno;XVIII;​51;Ma che ti mena a sì pungenti salse?
Inferno;XVIII;​52;Ed elli a me:
Inferno;XVIII;​52;"""Mal volentier lo dico;"
Inferno;XVIII;​53-54;ma sforzami la tua chiara favella, che mi fa sovvenir del mondo antico.
Inferno;XVIII;​55-57;I' fui colui che la Ghisolabella condussi a far la voglia del marchese, come che suoni la sconcia novella.
Inferno;XVIII;​58;"E non pur io qui piango bolognese;"
Inferno;XVIII;​59-61;"anzi n'è questo luogo tanto pieno, che tante lingue non son ora apprese a dicer ""sipa"" tra Sàvena e Reno;"
Inferno;XVIII;​62-63;"e se di ciò vuoi fede o testimonio, rècati a mente il nostro avaro seno""."
Inferno;XVIII;​64-65;Così parlando il percosse un demonio de la sua scurïada, e disse:
Inferno;XVIII;​65-66;"""Via, ruffian!"
Inferno;XVIII;​66;"qui non son femmine da conio""."
Inferno;XVIII;​67-69;"I' mi raggiunsi con la scorta mia; poscia con pochi passi divenimmo là 'v'uno scoglio de la ripa uscia."
Inferno;XVIII;​70;"Assai leggeramente quel salimmo;"
Inferno;XVIII;​71-72;e vòlti a destra su per la sua scheggia, da quelle cerchie etterne ci partimmo.
Inferno;XVIII;​73-75;Quando noi fummo là dov'el vaneggia di sotto per dar passo a li sferzati, lo duca disse:
Inferno;XVIII;​75-78;"""Attienti, e fa che feggia lo viso in te di quest'altri mal nati, ai quali ancor non vedesti la faccia però che son con noi insieme andati""."
Inferno;XVIII;​79-81;Del vecchio ponte guardavam la traccia che venìa verso noi da l'altra banda, e che la ferza similmente scaccia.
Inferno;XVIII;​82-83;E 'l buon maestro, sanza mia dimanda, mi disse:
Inferno;XVIII;​83-84;"""Guarda quel grande che vene, e per dolor non par lagrime spanda:"
Inferno;XVIII;​85;quanto aspetto reale ancor ritene!
Inferno;XVIII;​86-87;Quelli è Iasón, che per cuore e per senno li Colchi del monton privati féne.
Inferno;XVIII;​88-90;Ello passò per l'isola di Lenno poi che l'ardite femmine spietate tutti li maschi loro a morte dienno.
Inferno;XVIII;​91-93;Ivi con segni e con parole ornate Isifile ingannò, la giovinetta che prima avea tutte l'altre ingannate.
Inferno;XVIII;​94;"Lasciolla quivi, gravida, soletta;"
Inferno;XVIII;​95;"tal colpa a tal martiro lui condanna;"
Inferno;XVIII;​96;e anche di Medea si fa vendetta.
Inferno;XVIII;​97;"Con lui sen va chi da tal parte inganna;"
Inferno;XVIII;​98-99;"e questo basti de la prima valle sapere e di color che 'n sé assanna""."
Inferno;XVIII;​100-102;Già eravam là 've lo stretto calle con l'argine secondo s'incrocicchia, e fa di quello ad un altr'arco spalle.
Inferno;XVIII;​103-105;Quindi sentimmo gente che si nicchia ne l'altra bolgia e che col muso scuffa, e sé medesma con le palme picchia.
Inferno;XVIII;​106-108;Le ripe eran grommate d'una muffa, per l'alito di giù che vi s'appasta, che con li occhi e col naso facea zuffa.
Inferno;XVIII;​109-111;Lo fondo è cupo sì, che non ci basta loco a veder sanza montare al dosso de l'arco, ove lo scoglio più sovrasta.
Inferno;XVIII;​112;"Quivi venimmo;"
Inferno;XVIII;​112-114;e quindi giù nel fosso vidi gente attuffata in uno sterco che da li uman privadi parea mosso.
Inferno;XVIII;​115-117;E mentre ch'io là giù con l'occhio cerco, vidi un col capo sì di merda lordo, che non parëa s'era laico o cherco.
Inferno;XVIII;​118;Quei mi sgridò:
Inferno;XVIII;​118-119;"""Perché se' tu sì gordo di riguardar più me che li altri brutti?"
Inferno;XVIII;​120;E io a lui:
Inferno;XVIII;​120-123;"""Perché, se ben ricordo, già t'ho veduto coi capelli asciutti, e se' Alessio Interminei da Lucca: però t'adocchio più che li altri tutti""."
Inferno;XVIII;​124;Ed elli allor, battendosi la zucca:
Inferno;XVIII;​125-126;"""Qua giù m'hanno sommerso le lusinghe ond'io non ebbi mai la lingua stucca""."
Inferno;XVIII;​127-132;"Appresso ciò lo duca ""Fa che pinghe"", mi disse ""il viso un poco più avante, sì che la faccia ben con l'occhio attinghe di quella sozza e scapigliata fante che là si graffia con l'unghie merdose, e or s'accoscia e ora è in piedi stante."
Inferno;XVIII;​133-135;"Taïde è, la puttana che rispuose al drudo suo quando disse ""Ho io grazie grandi apo te?"
Inferno;XVIII;​135;"""Anzi maravigliose!""."
Inferno;XVIII;​136;"E quinci sian le nostre viste sazie""."
Inferno;XIX;​1-6;O Simon mago, o miseri seguaci che le cose di Dio, che di bontate deon essere spose, e voi rapaci per oro e per argento avolterate, or convien che per voi suoni la tromba, però che ne la terza bolgia state.
Inferno;XIX;​7-9;Già eravamo, a la seguente tomba, montati de lo scoglio in quella parte ch'a punto sovra mezzo 'l fosso piomba.
Inferno;XIX;​10-12;O somma sapïenza, quanta è l'arte che mostri in cielo, in terra e nel mal mondo, e quanto giusto tua virtù comparte!
Inferno;XIX;​13-15;Io vidi per le coste e per lo fondo piena la pietra livida di fóri, d'un largo tutti e ciascun era tondo.
Inferno;XIX;​16-18;"Non mi parean men ampi né maggiori che que' che son nel mio bel San Giovanni, fatti per loco d'i battezzatori;"
Inferno;XIX;​19-20;l'un de li quali, ancor non è molt'anni, rupp'io per un che dentro v'annegava:
Inferno;XIX;​21;e questo sia suggel ch'ogn'omo sganni.
Inferno;XIX;​22-24;Fuor de la bocca a ciascun soperchiava d'un peccator li piedi e de le gambe infino al grosso, e l'altro dentro stava.
Inferno;XIX;​25;"Le piante erano a tutti accese intrambe;"
Inferno;XIX;​26-27;per che sì forte guizzavan le giunte, che spezzate averien ritorte e strambe.
Inferno;XIX;​28-30;Qual suole il fiammeggiar de le cose unte muoversi pur su per la strema buccia, tal era lì dai calcagni a le punte.
Inferno;XIX;​31-33;"""Chi è colui, maestro, che si cruccia guizzando più che li altri suoi consorti"", diss'io, ""e cui più roggia fiamma succia?""."
Inferno;XIX;​34;Ed elli a me:
Inferno;XIX;​34-36;"""Se tu vuo' ch'i' ti porti là giù per quella ripa che più giace, da lui saprai di sé e de' suoi torti""."
Inferno;XIX;​37;E io:
Inferno;XIX;​37;"""Tanto m'è bel, quanto a te piace:"
Inferno;XIX;​38-39;"tu se' segnore, e sai ch'i' non mi parto dal tuo volere, e sai quel che si tace""."
Inferno;XIX;​40;"Allor venimmo in su l'argine quarto;"
Inferno;XIX;​41-42;volgemmo e discendemmo a mano stanca là giù nel fondo foracchiato e arto.
Inferno;XIX;​43-45;Lo buon maestro ancor de la sua anca non mi dipuose, sì mi giunse al rotto di quel che si piangeva con la zanca.
Inferno;XIX;​46-48;"""O qual che se' che 'l di sù tien di sotto, anima trista come pal commessa"", comincia' io a dir, ""se puoi, fa motto""."
Inferno;XIX;​49-51;Io stava come 'l frate che confessa lo perfido assessin, che, poi ch'è fitto, richiama lui per che la morte cessa.
Inferno;XIX;​52;Ed el gridò:
Inferno;XIX;​52-53;"""Se' tu già costì ritto, se' tu già costì ritto, Bonifazio?"
Inferno;XIX;​54;Di parecchi anni mi mentì lo scritto.
Inferno;XIX;​55-57;Se' tu sì tosto di quell'aver sazio per lo qual non temesti tòrre a 'nganno la bella donna, e poi di farne strazio?
Inferno;XIX;​58-60;Tal mi fec'io, quai son color che stanno, per non intender ciò ch'è lor risposto, quasi scornati, e risponder non sanno.
Inferno;XIX;​61;Allor Virgilio disse:
Inferno;XIX;​61;"""Dilli tosto:"
Inferno;XIX;​62;"""Non son colui, non son colui che credi"";"
Inferno;XIX;​63;e io rispuosi come a me fu imposto.
Inferno;XIX;​64;"Per che lo spirto tutti storse i piedi;"
Inferno;XIX;​65-66;poi, sospirando e con voce di pianto, mi disse:
Inferno;XIX;​66;"""Dunque che a me richiedi?"
Inferno;XIX;​67-69;"Se di saper ch'i' sia ti cal cotanto, che tu abbi però la ripa corsa, sappi ch'i' fui vestito del gran manto;"
Inferno;XIX;​70-72;e veramente fui figliuol de l'orsa, cupido sì per avanzar li orsatti, che sù l'avere e qui me misi in borsa.
Inferno;XIX;​73-75;Di sotto al capo mio son li altri tratti che precedetter me simoneggiando, per le fessure de la pietra piatti.
Inferno;XIX;​76-78;Là giù cascherò io altresì quando verrà colui ch'i' credea che tu fossi, allor ch'i' feci 'l sùbito dimando.
Inferno;XIX;​79-81;Ma più è 'l tempo già che i piè mi cossi e ch'i' son stato così sottosopra, ch'el non starà piantato coi piè rossi:
Inferno;XIX;​82-84;ché dopo lui verrà di più laida opra, di ver' ponente, un pastor sanza legge, tal che convien che lui e me ricuopra.
Inferno;XIX;​85-86;"Nuovo Iasón sarà, di cui si legge ne' Maccabei;"
Inferno;XIX;​86-87;"e come a quel fu molle suo re, così fia lui chi Francia regge""."
Inferno;XIX;​88-89;Io non so s'i' mi fui qui troppo folle, ch'i' pur rispuosi lui a questo metro:
Inferno;XIX;​90;"""Deh, or mi dì:"
Inferno;XIX;​90-92;quanto tesoro volle Nostro Segnore in prima da san Pietro ch'ei ponesse le chiavi in sua balìa?
Inferno;XIX;​93;"Certo non chiese se non ""Viemmi retro""."
Inferno;XIX;​94-96;Né Pier né li altri tolsero a Matia oro od argento, quando fu sortito al loco che perdé l'anima ria.
Inferno;XIX;​97;"Però ti sta, ché tu se' ben punito;"
Inferno;XIX;​98-99;e guarda ben la mal tolta moneta ch'esser ti fece contra Carlo ardito.
Inferno;XIX;​100-103;"E se non fosse ch'ancor lo mi vieta la reverenza delle somme chiavi che tu tenesti ne la vita lieta, io userei parole ancor più gravi;"
Inferno;XIX;​104-105;ché la vostra avarizia il mondo attrista, calcando i buoni e sollevando i pravi.
Inferno;XIX;​106-108;"Di voi pastor s'accorse il Vangelista, quando colei che siede sopra l'acque puttaneggiar coi regi a lui fu vista;"
Inferno;XIX;​109-111;quella che con le sette teste nacque, e da le diece corna ebbe argomento, fin che virtute al suo marito piacque.
Inferno;XIX;​112;"Fatto v'avete dio d'oro e d'argento;"
Inferno;XIX;​113-114;e che altro è da voi a l'idolatre, se non ch'elli uno, e voi ne orate cento?
Inferno;XIX;​115-117;"Ahi, Costantin, di quanto mal fu matre, non la tua conversion, ma quella dote che da te prese il primo ricco patre!""."
Inferno;XIX;​118-120;E mentr'io li cantava cotai note, o ira o coscïenza che 'l mordesse, forte spingava con ambo le piote.
Inferno;XIX;​121-123;I' credo ben ch'al mio duca piacesse, con sì contenta labbia sempre attese lo suon de le parole vere espresse.
Inferno;XIX;​124;"Però con ambo le braccia mi prese;"
Inferno;XIX;​125-126;e poi che tutto su mi s'ebbe al petto, rimontò per la via onde discese.
Inferno;XIX;​127-129;Né si stancò d'avermi a sé distretto, sì men portò sovra 'l colmo de l'arco che dal quarto al quinto argine è tragetto.
Inferno;XIX;​130-132;Quivi soavemente spuose il carco, soave per lo scoglio sconcio ed erto che sarebbe a le capre duro varco.
Inferno;XIX;​133;Indi un altro vallon mi fu scoperto.
Inferno;XX;​1-3;Di nova pena mi conven far versi e dar matera al ventesimo canto de la prima canzon, ch'è d'i sommersi.
Inferno;XX;​4-6;"Io era già disposto tutto quanto a riguardar ne lo scoperto fondo, che si bagnava d'angoscioso pianto;"
Inferno;XX;​7-9;e vidi gente per lo vallon tondo venir, tacendo e lagrimando, al passo che fanno le letane in questo mondo.
Inferno;XX;​10-15;Come 'l viso mi scese in lor più basso, mirabilmente apparve esser travolto ciascun tra 'l mento e 'l principio del casso, ché da le reni era tornato 'l volto, e in dietro venir li convenia, perché 'l veder dinanzi era lor tolto.
Inferno;XX;​16-17;"Forse per forza già di parlasia si travolse così alcun del tutto;"
Inferno;XX;​18;ma io nol vidi, né credo che sia.
Inferno;XX;​19-24;Se Dio ti lasci, lettor, prender frutto di tua lezione, or pensa per te stesso com'io potea tener lo viso asciutto, quando la nostra imagine di presso vidi sì torta, che 'l pianto de li occhi le natiche bagnava per lo fesso.
Inferno;XX;​25-27;Certo io piangea, poggiato a un de' rocchi del duro scoglio, sì che la mia scorta mi disse:
Inferno;XX;​27;"""Ancor se' tu de li altri sciocchi?"
Inferno;XX;​28;"Qui vive la pietà quand'è ben morta;"
Inferno;XX;​29-30;chi è più scellerato che colui che al giudicio divin passion comporta?
Inferno;XX;​31-32;"Drizza la testa, drizza, e vedi a cui s'aperse a li occhi d'i Teban la terra;"
Inferno;XX;​33;per ch'ei gridavan tutti:
Inferno;XX;​33-34;"""Dove rui, Anfïarao?"
Inferno;XX;​34;perché lasci la guerra?
Inferno;XX;​35-36;E non restò di ruinare a valle fino a Minòs che ciascheduno afferra.
Inferno;XX;​37;"Mira c'ha fatto petto de le spalle;"
Inferno;XX;​38-39;perché volse veder troppo davante, di retro guarda e fa retroso calle.
Inferno;XX;​40-42;"Vedi Tiresia, che mutò sembiante quando di maschio femmina divenne, cangiandosi le membra tutte quante;"
Inferno;XX;​43-45;e prima, poi, ribatter li convenne li duo serpenti avvolti, con la verga, che rïavesse le maschili penne.
Inferno;XX;​46-50;"Aronta è quel ch'al ventre li s'atterga, che ne' monti di Luni, dove ronca lo Carrarese che di sotto alberga, ebbe tra ' bianchi marmi la spelonca per sua dimora;"
Inferno;XX;​50-51;onde a guardar le stelle e 'l mar no li era la veduta tronca.
Inferno;XX;​52-56;"E quella che ricuopre le mammelle, che tu non vedi, con le trecce sciolte, e ha di là ogne pilosa pelle, Manto fu, che cercò per terre molte; poscia si puose là dove nacqu'io;"
Inferno;XX;​57;onde un poco mi piace che m'ascolte.
Inferno;XX;​58;Poscia
Inferno;XX;​58-60;che 'l padre suo di vita uscìo e venne serva la città di Baco, questa gran tempo per lo mondo gio.
Inferno;XX;​61-63;Suso in Italia bella giace un laco, a piè de l'Alpe che serra Lamagna sovra Tiralli, c'ha nome Benaco.
Inferno;XX;​64-66;Per mille fonti, credo, e più si bagna tra Garda e Val Camonica e Pennino de l'acqua che nel detto laco stagna.
Inferno;XX;​67-69;Loco è nel mezzo là dove 'l trentino pastore e quel di Brescia e 'l veronese segnar poria, s'e' fesse quel cammino.
Inferno;XX;​70-72;Siede Peschiera, bello e forte arnese da fronteggiar Bresciani e Bergamaschi, ove la riva 'ntorno più discese.
Inferno;XX;​73-75;Ivi convien che tutto quanto caschi ciò che 'n grembo a Benaco star non può, e fassi fiume giù per verdi paschi.
Inferno;XX;​76-78;Tosto che l'acqua a correr mette co, non più Benaco, ma Mencio si chiama fino a Governol, dove cade in Po.
Inferno;XX;​79-81;"Non molto ha corso, ch'el trova una lama, ne la qual si distende e la 'mpaluda; e suol di state talor essere grama."
Inferno;XX;​82-84;Quindi passando la vergine cruda vide terra, nel mezzo del pantano, sanza coltura e d'abitanti nuda.
Inferno;XX;​85-87;Lì, per fuggire ogne consorzio umano, ristette con suoi servi a far sue arti, e visse, e vi lasciò suo corpo vano.
Inferno;XX;​88-90;Li uomini poi che 'ntorno erano sparti s'accolsero a quel loco, ch'era forte per lo pantan ch'avea da tutte parti.
Inferno;XX;​91;"Fer la città sovra quell'ossa morte;"
Inferno;XX;​92-93;e per colei che 'l loco prima elesse, Mantüa l'appellar sanz'altra sorte.
Inferno;XX;​94;"Già fuor le genti sue dentro più spesse;"
Inferno;XX;​95-96;prima che la mattia da Casalodi da Pinamonte inganno ricevesse.
Inferno;XX;​97-99;"Però t'assenno che, se tu mai odi originar la mia terra altrimenti, la verità nulla menzogna frodi""."
Inferno;XX;​100;E io:
Inferno;XX;​100-102;"""Maestro, i tuoi ragionamenti mi son sì certi e prendon sì mia fede, che li altri mi sarien carboni spenti."
Inferno;XX;​103-104;"Ma dimmi, de la gente che procede, se tu ne vedi alcun degno di nota;"
Inferno;XX;​105;"ché solo a ciò la mia mente rifiede""."
Inferno;XX;​106;Allor mi disse:
Inferno;XX;​106-111;"""Quel che da la gota porge la barba in su le spalle brune, fu - quando Grecia fu di maschi vòta, sì ch'a pena rimaser per le cune - augure, e diede 'l punto con Calcanta in Aulide a tagliar la prima fune."
Inferno;XX;​112-113;Euripilo ebbe nome, e così 'l canta l'alta mia tragedìa in alcun loco:
Inferno;XX;​114;ben lo sai tu che la sai tutta quanta.
Inferno;XX;​115-117;Quell'altro che ne' fianchi è così poco, Michele Scotto fu, che veramente de le magiche frode seppe 'l gioco.
Inferno;XX;​118;"Vedi Guido Bonatti;"
Inferno;XX;​118-120;vedi Asdente, ch'avere inteso al cuoio e a lo spago ora vorrebbe, ma tardi si pente.
Inferno;XX;​121-122;"Vedi le triste che lasciaron l'ago, la spuola e 'l fuso, e fecersi 'ndivine;"
Inferno;XX;​123;fecer malie con erbe e con imago.
Inferno;XX;​124-126;"Ma vienne omai, ché già tiene 'l confine d'amendue li emisperi e tocca l'onda sotto Sobilia Caino e le spine;"
Inferno;XX;​127;e già iernotte fu la luna tonda:
Inferno;XX;​128-129;"ben ten de' ricordar, ché non ti nocque alcuna volta per la selva fonda""."
Inferno;XX;​130;Sì mi parlava, e andavamo introcque.
Inferno;XXI;​1-3;"Così di ponte in ponte, altro parlando che la mia comedìa cantar non cura, venimmo;"
Inferno;XXI;​3-5;"e tenavamo 'l colmo, quando restammo per veder l'altra fessura di Malebolge e li altri pianti vani;"
Inferno;XXI;​6;e vidila mirabilmente oscura.
Inferno;XXI;​7-12;"Quale ne l'arzanà de' Viniziani bolle l'inverno la tenace pece a rimpalmare i legni lor non sani, ché navicar non ponno - in quella vece chi fa suo legno novo e chi ristoppa le coste a quel che più vïaggi fece;"
Inferno;XXI;​13;"chi ribatte da proda e chi da poppa;"
Inferno;XXI;​14;"altri fa remi e altri volge sarte;"
Inferno;XXI;​15;chi terzeruolo e artimon rintoppa -:
Inferno;XXI;​16-18;tal, non per foco ma per divin'arte, bollia là giuso una pegola spessa, che 'nviscava la ripa d'ogne parte.
Inferno;XXI;​19-21;I' vedea lei, ma non vedëa in essa mai che le bolle che 'l bollor levava, e gonfiar tutta, e riseder compressa.
Inferno;XXI;​22-24;"Mentr'io là giù fisamente mirava, lo duca mio, dicendo ""Guarda, guarda!"", mi trasse a sé del loco dov'io stava."
Inferno;XXI;​25-28;Allor mi volsi come l'uom cui tarda di veder quel che li convien fuggire e cui paura sùbita sgagliarda, che, per veder, non indugia 'l partire:
Inferno;XXI;​29-30;e vidi dietro a noi un diavol nero correndo su per lo scoglio venire.
Inferno;XXI;​31;Ahi quant'elli era ne l'aspetto fero!
Inferno;XXI;​32-33;e quanto mi parea ne l'atto acerbo, con l'ali aperte e sovra i piè leggero!
Inferno;XXI;​34-36;L'omero suo, ch'era aguto e superbo, carcava un peccator con ambo l'anche, e quei tenea de' piè ghermito 'l nerbo.
Inferno;XXI;​37;Del nostro ponte disse:
Inferno;XXI;​37-38;"""O Malebranche, ecco un de li anzïan di Santa Zita!"
Inferno;XXI;​39-40;Mettetel sotto, ch'i' torno per anche a quella terra, che n'è ben fornita:
Inferno;XXI;​41;"ogn'uom v'è barattier, fuor che Bonturo;"
Inferno;XXI;​42;"del no, per li denar, vi si fa ita""."
Inferno;XXI;​43-44;"Là giù 'l buttò, e per lo scoglio duro si volse;"
Inferno;XXI;​44-45;e mai non fu mastino sciolto con tanta fretta a seguitar lo furo.
Inferno;XXI;​46;"Quel s'attuffò, e tornò sù convolto;"
Inferno;XXI;​47-48;ma i demon che del ponte avean coperchio, gridar:
Inferno;XXI;​48;"""Qui non ha loco il Santo Volto!"
Inferno;XXI;​49;qui si nuota altrimenti che nel Serchio!
Inferno;XXI;​50-51;"Però, se tu non vuo' di nostri graffi, non far sopra la pegola soverchio""."
Inferno;XXI;​52-53;Poi l'addentar con più di cento raffi, disser:
Inferno;XXI;​53-54;"""Coverto convien che qui balli, sì che, se puoi, nascosamente accaffi""."
Inferno;XXI;​55-57;Non altrimenti i cuoci a' lor vassalli fanno attuffare in mezzo la caldaia la carne con li uncin, perché non galli.
Inferno;XXI;​58-60;"Lo buon maestro ""Acciò che non si paia che tu ci sia"", mi disse, ""giù t'acquatta dopo uno scheggio, ch'alcun schermo t'aia;"
Inferno;XXI;​61-63;"e per nulla offension che mi sia fatta, non temer tu, ch'i' ho le cose conte, perch'altra volta fui a tal baratta""."
Inferno;XXI;​64;"Poscia passò di là dal co del ponte;"
Inferno;XXI;​65-66;e com'el giunse in su la ripa sesta, mestier li fu d'aver sicura fronte.
Inferno;XXI;​67-71;"Con quel furore e con quella tempesta ch'escono i cani a dosso al poverello che di sùbito chiede ove s'arresta, usciron quei di sotto al ponticello, e volser contra lui tutt'i runcigli;"
